experiment_id,metric_name,value,unit,ci_low,ci_high,n,model_id,method,batch,k,measurement_type,evidence_state,artifact_id
BASE-FIXED-C3-001,balanced_accuracy,0.22084318831969962,proportion,,,,MODEL-C3,,6,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_precision,0.13108208624783316,proportion,,,,MODEL-C3,,6,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_recall,0.22084318831969962,proportion,,,,MODEL-C3,,6,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,accuracy,0.32355383337946303,proportion,,,,MODEL-C3,,7,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_f1,0.25754264588756937,proportion,,,,MODEL-C3,,7,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,balanced_accuracy,0.3614332449212627,proportion,,,,MODEL-C3,,7,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_precision,0.21222205403909766,proportion,,,,MODEL-C3,,7,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_recall,0.3614332449212627,proportion,,,,MODEL-C3,,7,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,accuracy,0.20408163265306123,proportion,,,,MODEL-C3,,8,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_f1,0.1427163414153361,proportion,,,,MODEL-C3,,8,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,balanced_accuracy,0.2916666666666667,proportion,,,,MODEL-C3,,8,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_precision,0.11200613732259301,proportion,,,,MODEL-C3,,8,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_recall,0.2916666666666667,proportion,,,,MODEL-C3,,8,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,accuracy,0.3425531914893617,proportion,,,,MODEL-C3,,9,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_f1,0.17043757242081434,proportion,,,,MODEL-C3,,9,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,balanced_accuracy,0.3333333333333333,proportion,,,,MODEL-C3,,9,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_precision,0.11780627561303836,proportion,,,,MODEL-C3,,9,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_recall,0.3333333333333333,proportion,,,,MODEL-C3,,9,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,accuracy,0.4075,proportion,,,,MODEL-C3,,10,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_f1,0.3444130867649225,proportion,,,,MODEL-C3,,10,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,balanced_accuracy,0.4075,proportion,,,,MODEL-C3,,10,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_precision,0.5785691893496084,proportion,,,,MODEL-C3,,10,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C3-001,macro_recall,0.4075,proportion,,,,MODEL-C3,,10,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,accuracy,0.867363344051447,proportion,,,,MODEL-C4,,2,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_f1,0.7043232207051976,proportion,,,,MODEL-C4,,2,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,balanced_accuracy,0.8070084386517631,proportion,,,,MODEL-C4,,2,,EXECUTED,EXECUTED,ART-3F240F622273
BASE-FIXED-C4-001,macro_precision,0.6568179270185062,proportion,,,,MODEL-C4,,2,,EXECUTED,EXECUTED,ART-3F240F622273
