model_id,method,scope,batch,wall_time_ns
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21890400
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21882400
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21723100
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21451500
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21139300
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21169800
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21578800
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21245800
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21572000
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22279900
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21295800
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21391300
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21492500
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21448100
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21562400
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21450200
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21425800
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21310800
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21286200
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21420700
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21399100
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21264500
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21407900
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21267400
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21243900
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22247900
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21544300
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,22229700
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,23320700
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,23126600
MODEL-C2,INTRINSIC_IMPURITY,GLOBAL,,21997900
