experiment_id,sample_id,model_id,method,feature_index,feature_name,contribution,rank
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,117,S15:EMAi_0.1,0.0050000000000000044,86
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,118,S15:EMAd_0.001,0.0,123
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,119,S15:EMAd_0.01,0.010000000000000009,60
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,120,S15:EMAd_0.1,0.0050000000000000044,87
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,121,S16:dR,0.0050000000000000044,88
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,122,S16:dR_norm,0.05500000000000005,4
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,123,S16:EMAi_0.001,0.0,124
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,124,S16:EMAi_0.01,0.0,125
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,125,S16:EMAi_0.1,0.0,126
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,126,S16:EMAd_0.001,0.0,127
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,127,S16:EMAd_0.01,0.0050000000000000044,89
EXP-XAI-0001,B2:0,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,128,S16:EMAd_0.1,0.0,128
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,1,S1:dR,0.030000000000000027,6
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,2,S1:dR_norm,0.025000000000000022,11
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,3,S1:EMAi_0.001,0.020000000000000018,14
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,4,S1:EMAi_0.01,0.025000000000000022,12
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,5,S1:EMAi_0.1,0.015000000000000013,17
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,6,S1:EMAd_0.001,0.03500000000000003,4
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,7,S1:EMAd_0.01,0.010000000000000009,29
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,8,S1:EMAd_0.1,0.06500000000000006,1
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,9,S2:dR,0.03500000000000003,5
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,10,S2:dR_norm,0.0,71
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,11,S2:EMAi_0.001,0.015000000000000013,18
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,12,S2:EMAi_0.01,0.030000000000000027,7
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,13,S2:EMAi_0.1,0.0,72
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,14,S2:EMAd_0.001,0.020000000000000018,15
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,15,S2:EMAd_0.01,0.0050000000000000044,45
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,16,S2:EMAd_0.1,0.04500000000000004,3
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,17,S3:dR,-0.015000000000000013,19
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,18,S3:dR_norm,0.0,73
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,19,S3:EMAi_0.001,-0.015000000000000013,20
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,20,S3:EMAi_0.01,0.0050000000000000044,46
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,21,S3:EMAi_0.1,-0.010000000000000009,30
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,22,S3:EMAd_0.001,-0.0050000000000000044,47
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,23,S3:EMAd_0.01,0.0,74
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,24,S3:EMAd_0.1,0.0,75
EXP-XAI-0001,B2:1,MODEL-C2,SINGLE_FEATURE_ABLATION_LOCAL,25,S4:dR,0.0,76
