experiment_id,sample_id,feature_index,reference_attribution,fused_attribution,eligible_for_mandatory_sign,sign_agreement,near_zero_diagnostic
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,110,-0.2175359438462737,-0.217535958,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,111,-0.2096502432141036,-0.209650218,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,112,0.241862066285053,0.241862029,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,113,0.1362769934626519,0.136277005,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,114,-0.0717534228394286,-0.0717534274,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,115,0.1195794239597642,0.119579419,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,116,-0.1259466221417731,-0.125946626,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,117,-0.1476801476464362,-0.147680134,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,118,-0.1273305729308529,-0.127330571,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,119,-0.0705538982161165,-0.0705538988,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,120,-0.0123232462963781,-0.0123232473,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,121,0.1088109674894168,0.108810969,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,122,-0.2030213781197488,-0.203021362,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,123,0.0716951878644824,0.0716951936,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,124,-0.1544719046640272,-0.154471889,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,125,-0.1220892314166167,-0.12208923,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,126,-0.1823080272639862,-0.182308033,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,127,-0.1388215212635533,-0.138821512,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,128,-0.0038637698572717,-0.00386377005,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:1,1,0.0410671796055979,0.041067183,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:1,2,-0.0281185895865787,-0.0281185936,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:1,3,0.0525713678148307,0.0525713637,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:1,4,0.060915984872701,0.0609159842,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:1,5,0.0511311474362985,0.0511311442,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:1,6,0.0056414496330703,0.00564144924,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:1,7,0.013510873130083,0.0135108726,True,True,False
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:1,8,0.0861040499301268,0.0861040503,True,True,False
