experiment_id,sample_id,sensor_id,reference_contribution,fused_contribution,absolute_error,evidence_type,reference_rank,fused_rank,rank_agreement
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,4,1.370617706649883,1.370617702,4.64988292314672e-09,DERIVED_SENSOR_GROUP_VIEW,4.0,4.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,5,-0.24896197281010646,-0.2489619609,1.1910106456625158e-08,DERIVED_SENSOR_GROUP_VIEW,15.0,15.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,6,-0.9713530271946236,-0.9713530033,2.3894623613074373e-08,DERIVED_SENSOR_GROUP_VIEW,7.0,7.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,7,-1.1218612872143152,-1.1218613083,2.1085684753785472e-08,DERIVED_SENSOR_GROUP_VIEW,5.0,5.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,8,-0.8006959979070865,-0.80069599906,1.152913542412648e-09,DERIVED_SENSOR_GROUP_VIEW,10.0,10.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,9,1.3939991077002096,1.3939990770000001,3.070020948570118e-08,DERIVED_SENSOR_GROUP_VIEW,3.0,3.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,10,0.7388844125231706,0.7388843979899999,1.453317066690829e-08,DERIVED_SENSOR_GROUP_VIEW,11.0,11.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,11,1.0029394038826283,1.00293938926,1.4622628219385092e-08,DERIVED_SENSOR_GROUP_VIEW,6.0,6.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,12,0.9578499007948299,0.9578499131,1.2305170105086916e-08,DERIVED_SENSOR_GROUP_VIEW,8.0,8.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,13,-1.5957392051194172,-1.5957391861999999,1.891941736609226e-08,DERIVED_SENSOR_GROUP_VIEW,2.0,2.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,14,-2.365827699837368,-2.365827738,3.816263216549487e-08,DERIVED_SENSOR_GROUP_VIEW,1.0,1.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,15,-0.22136710406279259,-0.22136708720000003,1.6862792551197714e-08,DERIVED_SENSOR_GROUP_VIEW,16.0,16.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,16,-0.5062577185316577,-0.50625769914,1.9391657724021627e-08,DERIVED_SENSOR_GROUP_VIEW,13.0,13.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:122,1,0.3171142563539252,0.31711426053999997,4.186074764600534e-09,DERIVED_SENSOR_GROUP_VIEW,14.0,14.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:122,2,0.8290712013470487,0.8290711937999999,7.547048763711928e-09,DERIVED_SENSOR_GROUP_VIEW,5.0,5.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:122,3,0.4292595780027093,0.42925956639,1.1612709294173129e-08,DERIVED_SENSOR_GROUP_VIEW,12.0,12.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:122,4,0.9877849272714956,0.9877849607,3.342850440901657e-08,DERIVED_SENSOR_GROUP_VIEW,4.0,4.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:122,5,-0.16461885752072658,-0.16461885920000002,1.6792734425230549e-09,DERIVED_SENSOR_GROUP_VIEW,15.0,15.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:122,6,-0.6912503677144243,-0.6912503155999999,5.211442433150637e-08,DERIVED_SENSOR_GROUP_VIEW,10.0,10.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:122,7,-0.8160839138779107,-0.8160839463,3.242208934661761e-08,DERIVED_SENSOR_GROUP_VIEW,6.0,6.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:122,8,-0.5720181724530661,-0.57201818363,1.117693393393182e-08,DERIVED_SENSOR_GROUP_VIEW,11.0,11.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:122,9,1.339295466563307,1.339295468,1.4366929868003808e-09,DERIVED_SENSOR_GROUP_VIEW,2.0,2.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:122,10,0.7009076402890674,0.7009076424399999,2.150932543187878e-09,DERIVED_SENSOR_GROUP_VIEW,9.0,9.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:122,11,0.7364639666131401,0.73646397323,6.616859948849196e-09,DERIVED_SENSOR_GROUP_VIEW,7.0,7.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:122,12,0.7237648983398386,0.72376490833,9.990161364825667e-09,DERIVED_SENSOR_GROUP_VIEW,8.0,8.0,True
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:122,13,-1.0596884488234284,-1.0596884996,5.07765716140085e-08,DERIVED_SENSOR_GROUP_VIEW,3.0,3.0,True
