experiment_id,artifact_path,sha256,source_model_sha256,generator,git_commit,evidence_state
EXP-EMBED-FP32-EQUIV-001,embedded/tests/fp32_equivalence/stage14_c1_test_vectors.csv,048cab837006249a489793a7c74fab27bc98346b62c4da1a3b1c19e4d464f743,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/tests/fp32_equivalence/stage14_c1_o2.exe,70e1026a607e90eff24e2f12d27beaed9bd6a0dd0be7c466e3f4f9068ef8b3fe,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/tests/fp32_equivalence/stage14_c1_o0.exe,32687d0ef328b0bf820d91542bd49aed6c58e343c384a5c437c88530ebfbb6d2,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/tests/fp32_equivalence/stage14_c1_outputs.csv,36e8fd3cc51985c926606fe2bb5fe791393ed7c9d4ebe6abb9ff12596cc88955,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/tests/fp32_equivalence/stage14_c1_outputs_repeat.csv,36e8fd3cc51985c926606fe2bb5fe791393ed7c9d4ebe6abb9ff12596cc88955,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/tests/fp32_equivalence/stage14_c1_outputs_o0.csv,36e8fd3cc51985c926606fe2bb5fe791393ed7c9d4ebe6abb9ff12596cc88955,523969e083f87661191b97852b5bfed21513042c5a6b9d78c81fb52386d04214,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/tests/fp32_equivalence/stage14_c4_test_vectors.csv,7c4ac303272ea99dc1953958e1679f7e7653874646463d3a386c554a3b9de28a,af63d8b42a20991f768f993185dc65b96079a9a51adc4dc67b7e60574d849cc5,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/tests/fp32_equivalence/stage14_c4_o2.exe,0bf97641b0f406d34cfff88f71ecade70334874d367f1227f1fcf1286cddcec0,af63d8b42a20991f768f993185dc65b96079a9a51adc4dc67b7e60574d849cc5,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/tests/fp32_equivalence/stage14_c4_o0.exe,936d0070dbc07e2620f1fc679723a2d3d7734780d921fe98c9b34471c97bdf8f,af63d8b42a20991f768f993185dc65b96079a9a51adc4dc67b7e60574d849cc5,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
EXP-EMBED-FP32-EQUIV-001,embedded/tests/fp32_equivalence/stage14_c4_outputs.csv,61aa6ac1f2bab99f5f4bc2974bf916cceb77360b5cd01785b19a239e12e2484e,af63d8b42a20991f768f993185dc65b96079a9a51adc4dc67b7e60574d849cc5,scripts/run_stage14_fp32_equivalence.py,7ec127ee565c44260e33746bea1b2ec37cdfb40b,EXECUTED_HOST_EQUIVALENCE
