experiment_id,sample_id,feature_id,reference_attribution,exported_attribution,absolute_error,relative_error,sign_agreement,top_1_overlap,top_3_overlap,top_5_overlap,top_10_overlap,top_20_overlap,pass
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F040,-0.12448488028512242,-0.124484889,8.714877583471115e-09,7.000751869231348e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F041,-0.4478412618270755,-0.447841257,4.827075517077617e-09,1.0778541256748894e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F042,-0.06918625806795696,-0.0691862553,2.7679569608585197e-09,4.000732281459338e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F043,-0.26117555455403857,-0.261175543,1.155403855923609e-08,4.423859108470085e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F044,-0.1751897025697569,-0.175189719,1.6430243082732332e-08,9.378543853734868e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F045,0.016836993839270575,0.0168369971,3.2607294260522668e-09,1.9366458509041842e-07,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F046,0.026781810744392297,0.0267818104,3.4439229593119514e-10,1.2859186379072805e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F047,0.020728362146102682,0.0207283609,1.2461026828447519e-09,6.01158294158346e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F048,-0.12694640484626327,-0.126946405,1.5373674555618777e-10,1.2110366240175811e-09,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F049,-0.19893825659697267,-0.198938265,8.403027329517698e-09,4.223937352854821e-08,True,1.0,1.0,1.0,1.0,1.0,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,F050,-0.04104238384670088,-0.0410423838,4.670087927483024e-11,1.1378695606294373e-09,True,1.0,1.0,1.0,1.0,1.0,True
