experiment_id,model_id,method,batch,family,family_rank,aggregated_importance,features_altered,macro_f1_damage,unit
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,4,decaying_transient_ema,1,0.35589577451756477,48,0.30615703075679446,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,4,steady_state_resistance_change,2,0.23264692770073556,16,0.20828084849036832,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,4,normalized_resistance_response,3,0.21322035073710968,16,0.10304952247281557,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,4,rising_transient_ema,4,0.19823694704458375,48,-0.12031209711938773,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,5,decaying_transient_ema,1,0.35589577451756477,48,0.34667758667758664,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,5,steady_state_resistance_change,2,0.23264692770073556,16,0.19012411012411007,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,5,normalized_resistance_response,3,0.21322035073710968,16,0.20065351199371817,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,5,rising_transient_ema,4,0.19823694704458375,48,0.03426506720624367,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,6,decaying_transient_ema,1,0.35589577451756477,48,0.24667264082737966,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,6,steady_state_resistance_change,2,0.23264692770073556,16,0.1636056139336985,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,6,normalized_resistance_response,3,0.21322035073710968,16,0.168959950746864,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,6,rising_transient_ema,4,0.19823694704458375,48,0.003165486973437548,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,7,decaying_transient_ema,1,0.35589577451756477,48,0.14289167592331312,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,7,steady_state_resistance_change,2,0.23264692770073556,16,0.0635289488466382,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,7,normalized_resistance_response,3,0.21322035073710968,16,0.1476245480616117,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,7,rising_transient_ema,4,0.19823694704458375,48,-0.007837418405740315,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,8,decaying_transient_ema,1,0.35589577451756477,48,0.06772225728480993,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,8,steady_state_resistance_change,2,0.23264692770073556,16,0.09258458174883417,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,8,normalized_resistance_response,3,0.21322035073710968,16,0.11017679333468805,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,8,rising_transient_ema,4,0.19823694704458375,48,0.029319816955323624,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,9,decaying_transient_ema,1,0.35589577451756477,48,0.15904053592353767,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,9,steady_state_resistance_change,2,0.23264692770073556,16,0.1424334220941738,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,9,normalized_resistance_response,3,0.21322035073710968,16,0.28203920177360875,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,9,rising_transient_ema,4,0.19823694704458375,48,0.12294701283160175,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,10,decaying_transient_ema,1,0.35589577451756477,48,0.09043551735415573,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,10,steady_state_resistance_change,2,0.23264692770073556,16,0.0721536732291394,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,10,normalized_resistance_response,3,0.21322035073710968,16,0.020104591484729706,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,10,rising_transient_ema,4,0.19823694704458375,48,-0.03611461693620566,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,decaying_transient_ema,1,1.1449944450392946,48,0.3454090364362479,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,rising_transient_ema,2,0.8474650549447817,48,0.1578570800772513,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,normalized_resistance_response,3,0.6207291179766705,16,0.3460968048402914,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,2,steady_state_resistance_change,4,0.3480255292975193,16,0.144968003150581,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,3,rising_transient_ema,1,1.0858801889409222,48,-0.10445152608818686,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,3,steady_state_resistance_change,2,0.8239689161367059,16,-0.058609301008806514,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,3,decaying_transient_ema,3,0.5443294853247689,48,0.07785275559282995,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,3,normalized_resistance_response,4,0.292345017236044,16,0.06534108402601185,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,4,decaying_transient_ema,1,0.7447902046465685,48,0.036903754414068624,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,4,rising_transient_ema,2,0.7428978778308539,48,-0.12461239661009149,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,4,steady_state_resistance_change,3,0.5703516680454379,16,-0.09064838041222523,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,4,normalized_resistance_response,4,0.24596007092692584,16,-0.053793297781184246,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,5,decaying_transient_ema,1,0.888178916835643,48,0.07899702552398566,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,5,rising_transient_ema,2,0.785358996169947,48,-0.11910849263526846,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,5,steady_state_resistance_change,3,0.600936357135776,16,0.07044274555048988,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,5,normalized_resistance_response,4,0.3005124585515393,16,0.039812489933444606,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,6,rising_transient_ema,1,0.21680526942231268,48,-0.10641533066994696,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,6,normalized_resistance_response,2,0.0807403403633659,16,0.02805214458147376,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,6,decaying_transient_ema,3,0.07165477122826833,48,-0.0008484921270388579,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,6,steady_state_resistance_change,4,0.04431834489730413,16,-0.00017840116879938583,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,rising_transient_ema,1,0.5539427086816184,48,0.021345129325339884,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,decaying_transient_ema,2,0.4261759549872064,48,0.07478723275718105,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,normalized_resistance_response,3,0.21422281897916406,16,0.10737538782294045,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,7,steady_state_resistance_change,4,0.10577792856627191,16,0.015993447007390582,macro_f1_proportion
