model_id,method,scope,batch,phase,feature_count,sample_count,prediction_calls,batch_size,environment_id,median_ns,mean_ns,p95_ns,p99_ns,iqr_ns,min_ns,max_ns,std_ns,cv,n,experiment_id,median_us,p95_us,unit,variance_flag,scientific_scope
MODEL-C1,INTRINSIC_COEFFICIENT,LOCAL,10,TOP_K_REDUCTION_K5,128,1,0,1,HOST-STAGE12-001,5000.0,5106.166666666667,5300.0,6344.999999999959,200.0,4700.0,19000.0,1024.6764897941123,0.2006743133715662,600,EXP-XAI-LATENCY-001,5.0,5.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,MODEL,MODEL,,MODEL_LOAD,0,0,0,1,HOST-STAGE12-001,484100.0,491577.77777777775,535800.0,551800.0,18300.0,468100.0,555800.0,26827.494188694636,0.0545742614932082,9,EXP-XAI-LATENCY-001,484.1,535.8,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,2,GLOBAL_EXPLANATION_TOTAL,128,256,641,1,HOST-STAGE12-001,1330028700.0,1344005500.0,1373144730.0,1376977266.0,26941500.0,1324052400.0,1377935400.0,29535700.870810565,0.021975877978781012,3,EXP-XAI-LATENCY-001,1330028.7,1373144.73,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,6,GLOBAL_EXPLANATION_TOTAL,128,256,641,1,HOST-STAGE12-001,1315073600.0,1322220633.3333333,1341278720.0,1343608064.0,18396250.0,1307397900.0,1344190400.0,19409587.27442017,0.014679537427493004,3,EXP-XAI-LATENCY-001,1315073.6,1341278.72,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,PERMUTATION_IMPORTANCE_MACRO_F1,GLOBAL,10,GLOBAL_EXPLANATION_TOTAL,128,256,641,1,HOST-STAGE12-001,1320504300.0,1320826933.3333333,1334284290.0,1335509178.0,14827150.0,1306161100.0,1335815400.0,14829782.4098445,0.01122764991808503,3,EXP-XAI-LATENCY-001,1320504.3,1334284.29,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,2,EXPLANATION_COMPUTE,128,129,129,1,HOST-STAGE12-001,40892800.0,41139780.0,41754340.0,41786868.0,854700.0,40682400.0,41795000.0,516229.66013199976,0.012548187183596989,5,EXP-XAI-LATENCY-001,40892.8,41754.34,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,6,EXPLANATION_COMPUTE,128,129,129,1,HOST-STAGE12-001,39936900.0,39848560.0,40232000.0,40284160.0,267800.0,39334100.0,40297200.0,357023.4208003727,0.008959506210522356,5,EXP-XAI-LATENCY-001,39936.9,40232.0,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,10,EXPLANATION_COMPUTE,128,129,129,1,HOST-STAGE12-001,39340700.0,39378280.0,39478300.0,39478460.0,174400.0,39291600.0,39478500.0,92825.5999172642,0.002357279188356226,5,EXP-XAI-LATENCY-001,39340.7,39478.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,EXPLANATION_COMPUTE,128,129,2,128,HOST-STAGE12-001,707900.0,716594.9122807018,757669.9999999999,872122.9999999998,20775.0,676200.0,1189500.0,38904.69620848996,0.05429105836750674,570,EXP-XAI-LATENCY-001,707.9,757.6699999999998,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,SERIALIZATION_JSON,128,1,0,1,HOST-STAGE12-001,63000.0,64961.05263157895,75455.0,87769.99999999962,3175.0,59600.0,107400.0,6185.258762173639,0.09521487894066011,570,EXP-XAI-LATENCY-001,63.0,75.455,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K1,128,1,0,1,HOST-STAGE12-001,5100.0,5299.649122807017,6300.0,10030.999999999995,200.0,4700.0,11500.0,985.4476557852915,0.18594583017664731,570,EXP-XAI-LATENCY-001,5.1,6.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K10,128,1,0,1,HOST-STAGE12-001,5100.0,5117.017543859649,5500.0,6230.9999999999945,300.0,4700.0,12000.0,519.9109864068805,0.10160430015151435,570,EXP-XAI-LATENCY-001,5.1,5.5,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K20,128,1,0,1,HOST-STAGE12-001,5100.0,5207.543859649123,5354.999999999995,5830.9999999999945,300.0,4700.0,29300.0,1593.1187490855993,0.3059251716399257,570,EXP-XAI-LATENCY-001,5.1,5.354999999999995,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K3,128,1,0,1,HOST-STAGE12-001,5000.0,5054.3859649122805,5300.0,5930.9999999999945,200.0,4700.0,11700.0,339.6835990007269,0.06720571031947738,570,EXP-XAI-LATENCY-001,5.0,5.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K5,128,1,0,1,HOST-STAGE12-001,5000.0,5063.1578947368425,5400.0,5992.999999999984,200.0,4700.0,11800.0,351.26263785775274,0.06937619666629212,570,EXP-XAI-LATENCY-001,5.0,5.4,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,EXPLANATION_COMPUTE,128,129,2,128,HOST-STAGE12-001,707850.0,715519.7777777778,765014.9999999999,861158.9999999997,15900.0,685300.0,1033200.0,33164.87106195798,0.046350739828547614,450,EXP-XAI-LATENCY-001,707.85,765.0149999999999,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,SERIALIZATION_JSON,128,1,0,1,HOST-STAGE12-001,65550.0,69776.44444444444,86994.99999999996,115428.99999999993,13300.0,60400.0,146100.0,11053.793381986592,0.15841726344751705,450,EXP-XAI-LATENCY-001,65.55,86.99499999999996,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,TOP_K_REDUCTION_K1,128,1,0,1,HOST-STAGE12-001,5100.0,5614.0,9400.0,16008.999999999945,200.0,4700.0,41800.0,2801.527502531209,0.4990252052959047,450,EXP-XAI-LATENCY-001,5.1,9.4,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,TOP_K_REDUCTION_K10,128,1,0,1,HOST-STAGE12-001,5050.0,5145.111111111111,5400.0,6250.999999999999,300.0,4700.0,19300.0,884.2777235144428,0.1718675660093721,450,EXP-XAI-LATENCY-001,5.05,5.4,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,TOP_K_REDUCTION_K20,128,1,0,1,HOST-STAGE12-001,5000.0,5201.333333333333,5500.0,9033.999999999969,100.0,4800.0,19700.0,1232.2315751466601,0.23690686525506155,450,EXP-XAI-LATENCY-001,5.0,5.5,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,TOP_K_REDUCTION_K3,128,1,0,1,HOST-STAGE12-001,5000.0,5166.444444444444,5300.0,6350.999999999999,200.0,4700.0,21100.0,1284.950850594471,0.24871086187255878,450,EXP-XAI-LATENCY-001,5.0,5.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,TOP_K_REDUCTION_K5,128,1,0,1,HOST-STAGE12-001,5100.0,5237.111111111111,5400.0,10777.999999999929,300.0,4700.0,27000.0,1601.9408081708107,0.30588253221745015,450,EXP-XAI-LATENCY-001,5.1,5.4,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,EXPLANATION_COMPUTE,128,129,2,128,HOST-STAGE12-001,711500.0,721264.0,802294.9999999995,934102.0,18425.0,688500.0,1029400.0,42087.580250618514,0.058352531459519005,600,EXP-XAI-LATENCY-001,711.5,802.2949999999995,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,SERIALIZATION_JSON,128,1,0,1,HOST-STAGE12-001,63350.0,66422.66666666667,78300.0,92205.0,6900.0,60300.0,111100.0,6714.5062274665215,0.1010875739325911,600,EXP-XAI-LATENCY-001,63.35,78.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,TOP_K_REDUCTION_K1,128,1,0,1,HOST-STAGE12-001,5000.0,5746.666666666667,9504.999999999996,22103.999999999996,300.0,4700.0,41100.0,3076.5615450460787,0.5353645380010578,600,EXP-XAI-LATENCY-001,5.0,9.504999999999997,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,TOP_K_REDUCTION_K10,128,1,0,1,HOST-STAGE12-001,5000.0,5101.666666666667,5500.0,6700.999999999999,200.0,4700.0,11800.0,620.6764758726764,0.12166151111519302,600,EXP-XAI-LATENCY-001,5.0,5.5,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,TOP_K_REDUCTION_K20,128,1,0,1,HOST-STAGE12-001,5000.0,5039.0,5300.0,5600.999999999999,200.0,4700.0,10900.0,288.8217963556135,0.05731728445239403,600,EXP-XAI-LATENCY-001,5.0,5.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,TOP_K_REDUCTION_K3,128,1,0,1,HOST-STAGE12-001,5000.0,5054.333333333333,5400.0,6200.999999999999,200.0,4700.0,11300.0,402.5559684504927,0.07964571030478652,600,EXP-XAI-LATENCY-001,5.0,5.4,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,TOP_K_REDUCTION_K5,128,1,0,1,HOST-STAGE12-001,5000.0,5023.5,5300.0,5900.999999999999,200.0,4700.0,6900.0,193.89105076290457,0.03859680516828995,600,EXP-XAI-LATENCY-001,5.0,5.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED
