experiment_id,analysis,model_id,method,source_sample_id,target_sample_id,source_batch,target_batch,true_class,source_category,target_category,input_distance,model_output_distance,explanation_distance,spearman,kendall_tau_b,jaccard_at_5,jaccard_at_10,jaccard_at_20,cosine_similarity,sign_agreement,top_k_sign_agreement,sign_flip_frequency,unit,status
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B6:1539,B10:1663,6,10,5,NEAR_DECISION_BOUNDARY,CORRECT_REPRESENTATIVE,0.9433288696924769,0.46433000330160146,0.6665784786156164,-0.03357329243728255,-0.028543307086614178,0.0,0.0,0.02564102564102564,0.2023687694319926,0.5390625,0.5897435897435898,0.4609375,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B6:1562,B10:1655,6,10,5,NEAR_DECISION_BOUNDARY,CORRECT_REPRESENTATIVE,2.23881305535013,0.7062848744120578,0.6236603540194611,-0.062122321919062445,-0.05118110236220474,0.0,0.0,0.0,0.2528646769052256,0.578125,0.725,0.421875,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B2:0,B10:840,2,10,1,CORRECT_REPRESENTATIVE,CORRECT_REPRESENTATIVE,0.7118839451149089,0.0834293742049864,0.14961492174868304,0.853947308185314,0.720964566929134,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9291285458554717,0.8203125,0.7083333333333334,0.1796875,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B2:1,B10:842,2,10,1,CORRECT_REPRESENTATIVE,CORRECT_REPRESENTATIVE,1.581492609575931,0.028440017683429127,0.5508367615435315,0.41549166819263866,0.2997047244094489,0.0,0.1111111111111111,0.08108108108108109,0.42460860774892795,0.21875,0.10810810810810811,0.78125,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B2:71,B10:123,2,10,2,CORRECT_REPRESENTATIVE,CORRECT_REPRESENTATIVE,3.3302934820042034,0.07437754721743275,0.34910733054836496,0.36627906976744184,0.2586122047244095,0.0,0.0,0.1111111111111111,0.6974029902511191,0.7265625,0.8333333333333334,0.2734375,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B2:495,B10:125,2,10,2,NEAR_DECISION_BOUNDARY,CORRECT_REPRESENTATIVE,3.9687314401912017,0.5035351176106163,0.5683211854828549,-0.05685199597143381,-0.04084645669291339,0.0,0.0,0.05263157894736842,0.3566648833356034,0.3828125,0.47368421052631576,0.6171875,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B2:534,B10:11,2,10,3,CORRECT_REPRESENTATIVE,CORRECT_REPRESENTATIVE,0.7273106022177276,0.338468579128854,0.3565059396684652,0.5375618018677897,0.4099409448818898,0.0,0.17647058823529413,0.2903225806451613,0.6694306031205964,0.765625,0.8387096774193549,0.234375,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B2:535,B10:2363,2,10,3,CORRECT_REPRESENTATIVE,NEAR_DECISION_BOUNDARY,0.5404638441630873,0.04957569933314134,0.2261367956884765,0.7578282365867057,0.6345964566929135,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.841565125227706,0.9140625,0.9,0.0859375,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B2:540,B10:9,2,10,3,NEAR_DECISION_BOUNDARY,CORRECT_REPRESENTATIVE,0.6596884485422003,0.4907583736257931,0.5326521761722844,0.2353392235854239,0.1628937007874016,0.0,0.05263157894736842,0.14285714285714285,0.41360687301863364,0.5078125,0.42857142857142855,0.4921875,distance_similarity_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,CROSS_SECTIONAL_MATCHED_ANALYSIS_NOT_LONGITUDINAL,MODEL-C1,INTRINSIC_COEFFICIENT,B2:212,B10:1663,2,10,5,CORRECT_REPRESENTATIVE,CORRECT_REPRESENTATIVE,1.277943497990379,0.35924058577592777,0.518081568947913,0.4487902856619667,0.3176673228346457,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.5121165267152576,0.5625,0.37142857142857144,0.4375,distance_similarity_or_proportion,EXECUTED
