experiment_id,model_id,method,batch,k,original_macro_f1,deleted_macro_f1,macro_f1_damage,original_balanced_accuracy,deleted_balanced_accuracy,balanced_accuracy_damage,prediction_agreement,bottom_k_damage,random_damage_mean,selected_minus_random,probability_selected_exceeds_random,reference_source,measurement_type
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,6,1,0.23849002296627952,0.23556027010137737,0.0029297528649021576,0.32969431157245527,0.32620999101496395,0.003484320557491316,0.9873913043478261,-0.0001258969604978899,0.0021477547170332817,0.0007819981478688759,0.6666666666666666,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,6,3,0.23849002296627952,0.22141688487105196,0.017073138095227564,0.32969431157245527,0.31372894607211776,0.015965365500337503,0.8643478260869565,-0.0018309554960783958,0.004076173890467056,0.012996964204760507,0.9666666666666667,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,6,5,0.23849002296627952,0.21770397180233247,0.02078605116394705,0.32969431157245527,0.3121076749955938,0.017586636576861492,0.8360869565217391,-0.0019003849901905179,0.006080747015097042,0.014705304148850008,0.9666666666666667,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,6,10,0.23849002296627952,0.24858912036409764,-0.010099097397818113,0.32969431157245527,0.3227471295065572,0.006947182065898061,0.92,-0.0046376224634000485,0.006940330431844525,-0.01703942782966264,0.0,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,6,20,0.23849002296627952,0.28020827491054084,-0.04171825194426132,0.32969431157245527,0.3384671515999876,-0.008772840027532314,0.8839130434782608,-0.007039324836498634,0.008162184973413028,-0.049880436917674346,0.0,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,7,1,0.3066783275636837,0.28769088080231175,0.01898744676137193,0.44697045988586775,0.41899826563723847,0.02797219424862929,0.9767506227511763,4.3958259670850985e-05,0.005440358369952913,0.013547088391419016,0.7666666666666667,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,7,3,0.3066783275636837,0.24611456099462262,0.06056376656906107,0.44697045988586775,0.36018293941786556,0.0867875204680022,0.8920564627733186,-0.0009597387434290838,0.017997178401209343,0.04256658816785172,0.9333333333333333,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,7,5,0.3066783275636837,0.22588301951398146,0.08079530804970222,0.44697045988586775,0.3432138231738627,0.10375663671200508,0.8707445336285635,0.003121988636869577,0.026335429191630535,0.054459878858071686,0.8666666666666667,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,7,10,0.3066783275636837,0.2572193704327647,0.04945895713091897,0.44697045988586775,0.3652922176676485,0.08167824221821923,0.8425131469692776,0.0070019093844965186,0.0212753413275865,0.02818361580333247,0.7333333333333333,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,7,20,0.3066783275636837,0.2552189526377434,0.05145937492594027,0.44697045988586775,0.3682504645192403,0.07871999536662744,0.8104068641018544,-0.014645948388405217,0.033220961017681225,0.018238413908259046,0.6666666666666666,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,8,1,0.3298555069743583,0.3267154344845849,0.0031400724897733823,0.4879208754208754,0.4823653198653199,0.005555555555555536,0.9931972789115646,0.0,0.008374497073947228,-0.005234424584173846,0.5,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,8,3,0.3298555069743583,0.25552887821795384,0.07432662875640444,0.4879208754208754,0.39810606060606063,0.08981481481481479,0.9081632653061225,0.0016425801520790206,0.03023073816036314,0.044095890596041305,0.8333333333333334,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,8,5,0.3298555069743583,0.11721132897603485,0.2126441779983234,0.4879208754208754,0.2513888888888889,0.23653198653198654,0.7755102040816326,0.0016425801520790206,0.04756280293213684,0.1650813750661866,1.0,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,8,10,0.3298555069743583,0.1035334387195997,0.2263220682547586,0.4879208754208754,0.25972222222222224,0.22819865319865318,0.7244897959183674,-0.002597050497645803,0.07098056920033155,0.15534149905442704,1.0,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,8,20,0.3298555069743583,0.10104689714254445,0.22880860983181384,0.4879208754208754,0.24305555555555558,0.24486531986531984,0.5,0.03917252739206917,0.09217603003290002,0.1366325797989138,1.0,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,9,1,0.16975806451612904,0.1702410707086995,-0.0004830061925704676,0.3333333333333333,0.3333333333333333,0.0,0.9914893617021276,0.0,-0.021918604257195426,0.02143559806462496,0.5666666666666667,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,9,3,0.16975806451612904,0.17671920013557027,-0.006961135619441228,0.3333333333333333,0.3333333333333333,0.0,0.9085106382978724,-0.006278922227198086,-0.04459059702960879,0.03762946141016756,0.4666666666666667,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,9,5,0.16975806451612904,0.18684210526315792,-0.017084040747028878,0.3333333333333333,0.3333333333333333,0.0,0.8489361702127659,0.0,-0.08577621031580618,0.0686921695687773,0.6333333333333333,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,9,10,0.16975806451612904,0.16791321339532375,0.001844851120805291,0.3333333333333333,0.3333333333333333,0.0,0.9574468085106383,-0.11620790291425212,-0.030108175703026315,0.03195302682383161,0.9666666666666667,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,9,20,0.16975806451612904,0.16761500267566232,0.0021430618404667257,0.3333333333333333,0.3333333333333333,0.0,0.9382978723404255,0.00144905407467108,-0.06895060526201582,0.07109366710248255,0.9666666666666667,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,10,1,0.27671603021730545,0.2825902967736937,-0.00587426655638823,0.3741666666666666,0.37027777777777776,0.0038888888888888307,0.9586111111111111,-0.002391027610074037,0.004623844485154499,-0.010498111041542729,0.03333333333333333,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,10,3,0.27671603021730545,0.2860249070663875,-0.009308876849082048,0.3741666666666666,0.3641666666666667,0.009999999999999898,0.8136111111111111,0.0008609038352069831,0.004928999131422632,-0.014237875980504681,0.13333333333333333,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,10,5,0.27671603021730545,0.2584524483797629,0.018263581837542564,0.3741666666666666,0.33749999999999997,0.036666666666666625,0.7838888888888889,-0.0035562741332218484,0.011540137268910558,0.006723444568632006,0.7,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,10,10,0.27671603021730545,0.23628488602127273,0.04043114419603272,0.3741666666666666,0.3183333333333333,0.05583333333333329,0.7402777777777778,-0.009793622331060181,0.019899287172082912,0.020531857023949808,0.7333333333333333,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C1,INTRINSIC_COEFFICIENT,10,20,0.27671603021730545,0.22995270774229715,0.046763322475008307,0.3741666666666666,0.3005555555555555,0.07361111111111107,0.7130555555555556,-0.013194192810865979,0.03139577417258592,0.015367548302422387,0.7,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
EXP-XAI-FIDELITY-001,MODEL-C2,INTRINSIC_IMPURITY,2,1,0.6672518922809217,0.6461513900762101,0.021100502204711602,0.720263992462535,0.6983341679011316,0.021929824561403466,0.9340836012861736,-0.00015052306766005774,0.0020933289127605505,0.019007173291951052,1.0,BATCH_1_SAVED_SCALER_MEAN,EXECUTED
