experiment_id,model_id,method,comparison_type,anchor_batch,batch_a,batch_b,n_features,scope,explanation_distance,input_change,model_macro_f1_change,model_output_distribution_change,epsilon,explanation_per_input_change,explanation_per_output_change,unit,status
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,2,3,128,GLOBAL,0.6521209783309507,0.24184779125815448,0.04412699076803683,0.2292419147849164,1e-06,2.696399576522436,2.844672337824674,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,2,3,128,GLOBAL,0.6521209783309507,0.24184779125815448,0.04412699076803683,0.2292419147849164,0.0001,2.695296265941721,2.8434443784186985,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,3,4,128,GLOBAL,0.6795476582787345,0.17514686189738726,0.0981400319282516,0.058079821105481065,1e-08,3.879873222496711,11.700234751795012,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,3,4,128,GLOBAL,0.6795476582787345,0.17514686189738726,0.0981400319282516,0.058079821105481065,1e-06,3.8798512920292265,11.700035318794862,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,3,4,128,GLOBAL,0.6795476582787345,0.17514686189738726,0.0981400319282516,0.058079821105481065,0.0001,3.8776594965599545,11.680126294075437,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,4,5,128,GLOBAL,0.6779790867333017,0.1675454310169655,0.07332229792206169,0.1584193019516348,1e-08,4.046538554663806,4.27964923203484,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,4,5,128,GLOBAL,0.6779790867333017,0.1675454310169655,0.07332229792206169,0.1584193019516348,1e-06,4.046514644436983,4.279622487654937,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,4,5,128,GLOBAL,0.6779790867333017,0.1675454310169655,0.07332229792206169,0.1584193019516348,0.0001,4.044125047849894,4.276949736633064,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,5,6,128,GLOBAL,0.5981623839298272,0.5772052274640999,0.07131808533802803,0.08144128227764298,1e-08,1.0363079631047714,7.3447064406913025,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,5,6,128,GLOBAL,0.5981623839298272,0.5772052274640999,0.07131808533802803,0.08144128227764298,1e-06,1.0363061856726603,7.344617159556578,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,5,6,128,GLOBAL,0.5981623839298272,0.5772052274640999,0.07131808533802803,0.08144128227764298,0.0001,1.0361284732468916,7.335699994183579,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,6,7,128,GLOBAL,0.48485213939274935,0.015510791428747894,0.0684817715331617,0.15388938194201784,1e-08,31.25899984085406,3.150653422397244,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,6,7,128,GLOBAL,0.48485213939274935,0.015510791428747894,0.0684817715331617,0.15388938194201784,1e-06,31.2570048159735,3.150633153769349,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,6,7,128,GLOBAL,0.48485213939274935,0.015510791428747894,0.0684817715331617,0.15388938194201784,0.0001,31.058780178170522,3.1486076070836653,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,7,8,128,GLOBAL,0.552957968834897,0.018631896147454308,0.1341183538891263,0.0873720512284649,1e-08,29.678013857452157,6.328773306480597,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,7,8,128,GLOBAL,0.552957968834897,0.018631896147454308,0.1341183538891263,0.0873720512284649,1e-06,29.676437010058905,6.328701596891824,ratio_with_components,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,7,8,128,GLOBAL,0.552957968834897,0.018631896147454308,0.1341183538891263,0.0873720512284649,0.0001,29.51959398461884,6.321538835194881,ratio_with_components,EXECUTED
