experiment_id,scope,model_id,method,status,reason,sign_agreement,top_k_sign_agreement,sign_flip_frequency,unit
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.984375,1.0,0.015625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.9921875,1.0,0.0078125,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,1.0,1.0,0.0,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,1.0,1.0,0.0,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,1.0,1.0,0.0,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.9921875,1.0,0.0078125,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,1.0,1.0,0.0,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.984375,1.0,0.015625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,1.0,1.0,0.0,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,1.0,1.0,0.0,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,1.0,1.0,0.0,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.9921875,1.0,0.0078125,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,1.0,1.0,0.0,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.984375,1.0,0.015625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,1.0,1.0,0.0,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,1.0,1.0,0.0,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,1.0,1.0,0.0,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.984375,1.0,0.015625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.9921875,1.0,0.0078125,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,EXECUTED,signed local contributions,0.984375,1.0,0.015625,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.96875,1.0,0.03125,proportion
EXP-XAI-STABILITY-001,LOCAL_NEIGHBOR,MODEL-C1,INTRINSIC_COEFFICIENT,EXECUTED,signed local contributions,0.125,0.034482758620689655,0.875,proportion
