experiment_id,model_id,method,comparison_type,anchor_batch,batch_a,batch_b,n_features,cosine_similarity,normalized_l1_distance,unit,status
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,9,10,128,0.46600910902307474,0.49922821821910995,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,3,128,0.454821560336569,0.5443832042412158,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,4,128,0.3377337971736151,0.6387336522739733,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,5,128,0.6844246035065498,0.3984325568085849,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,6,128,0.5746874443113751,0.5073717200630331,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,7,128,0.6515097836117267,0.42661200952625355,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,8,128,0.5773158165946445,0.44307972035313103,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,9,128,0.7251114278624061,0.407394533890753,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,10,128,0.631855220078128,0.44650837693087636,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,2,3,128,0.595084029056276,0.46943390803575724,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,3,4,128,0.23035952041560126,0.7141977456897212,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,4,5,128,0.2203716111925688,0.7891833863576454,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,5,6,128,0.3410588537433683,0.719905789511843,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,6,7,128,0.689584530334715,0.3943885385400662,similarity_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,7,8,128,0.6871422384442967,0.40434349558829785,similarity_or_normalized_distance,EXECUTED
