experiment_id,model_id,method,sample_id,batch,row_index_in_batch,repeat,latency_ns
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:122,2,122,5,382978
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:122,2,122,1,827013
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:122,2,122,2,830148
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:122,2,122,3,828585
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:122,2,122,4,832633
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:122,2,122,5,799641
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:122,2,122,1,511561
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:122,2,122,2,543089
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:122,2,122,3,509848
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:122,2,122,4,535897
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:122,2,122,5,510038
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:135,2,135,1,340850
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:135,2,135,2,373061
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:135,2,135,3,339407
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:135,2,135,4,338956
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:135,2,135,5,376677
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:135,2,135,1,835869
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:135,2,135,2,830169
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:135,2,135,3,840477
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:135,2,135,4,878670
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:135,2,135,5,866577
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:135,2,135,1,516570
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:135,2,135,2,572234
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:135,2,135,3,519045
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:135,2,135,4,545404
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:135,2,135,5,509696
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:149,2,149,1,343826
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:149,2,149,2,402687
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:149,2,149,3,344326
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:149,2,149,4,388409
EXP-LAT-0001,MODEL-C1,PREDICT_PROBA_SINGLE,B2:149,2,149,5,351480
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:149,2,149,1,846229
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:149,2,149,2,813498
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:149,2,149,3,848903
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:149,2,149,4,837192
EXP-LAT-0001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL,B2:149,2,149,5,869262
EXP-LAT-0001,MODEL-C1,INTRINSIC_COEFFICIENT,B2:149,2,149,1,551576
