experiment_id,model_id,method,comparison_type,anchor_batch,batch_a,batch_b,n_features,spearman,kendall_tau_b,jaccard_at_5,jaccard_at_10,jaccard_at_20,unit,status
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,5,6,128,-0.26019562272518204,-0.19046802019406747,0.1111111111111111,0.25,0.17647058823529413,correlation_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,6,7,128,-0.06598493865592382,-0.0218996062992126,0.25,0.3333333333333333,0.21212121212121213,correlation_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,7,8,128,0.27560568356332804,0.21039157264524225,0.1111111111111111,0.25,0.2903225806451613,correlation_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,8,9,128,0.2964483107086492,0.21128322202205588,0.25,0.5384615384615384,0.3333333333333333,correlation_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,9,10,128,0.11147487187729584,0.05754392277601465,0.0,0.1111111111111111,0.25,correlation_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,3,128,0.5594728529573338,0.4121555118110237,0.1111111111111111,0.3333333333333333,0.21212121212121213,correlation_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,4,128,0.029794793888416445,0.01483269076095114,0.0,0.0,0.02564102564102564,correlation_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,5,128,0.2398332598035725,0.17645197665810455,0.1111111111111111,0.1111111111111111,0.25,correlation_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,6,128,0.05784769273026917,0.03740157480314961,0.25,0.3333333333333333,0.2903225806451613,correlation_or_proportion,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,7,128,0.2757221662699139,0.1813484251968504,0.1111111111111111,0.17647058823529413,0.2903225806451613,correlation_or_proportion,EXECUTED
