experiment_id,model_id,method,batch,sensor_k,selected_sensors,features_altered,macro_f1_damage,random_damage_mean,selected_minus_random,unit
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,7,2,"[10, 1]",16,0.26110407252640455,0.036483925071505226,0.22462014745489933,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,7,3,"[10, 1, 2]",24,0.22772937944843397,0.05232659149093795,0.17540278795749603,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,8,1,[13],8,0.04473518350055489,0.010960299664172635,0.033774883836382254,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,8,2,"[13, 10]",16,0.049368508178211146,0.02618652855519448,0.023181979623016664,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,8,3,"[13, 10, 2]",24,0.042371231905720785,0.06037222789135714,-0.018000995985636356,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,9,1,[13],8,0.159059736662686,0.06550964838995238,0.09355008827273362,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,9,2,"[13, 10]",16,0.13552321540340823,0.11342567907314578,0.022097536330262443,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,9,3,"[13, 10, 6]",24,0.1543228564681248,0.1335114188510714,0.020811437617053397,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,10,1,[10],8,-0.057519062021846756,0.022867432270659172,-0.08038649429250593,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,10,2,"[10, 2]",16,0.07200864641416665,0.02603526698328606,0.04597337943088059,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C2,PERMUTATION_IMPORTANCE_MACRO_F1,10,3,"[10, 2, 9]",24,0.06342218145716591,0.04680600635252009,0.016616175104645824,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,2,1,[13],8,0.0034186795673762926,0.10508708378122075,-0.10166840421384446,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,2,2,"[13, 7]",16,0.06342228269919048,0.1673372430082516,-0.10391496030906111,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,2,3,"[13, 7, 2]",24,0.29007776394928897,0.21245092135591617,0.0776268425933728,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,3,1,[5],8,-0.08593871550209892,0.018878378624764883,-0.1048170941268638,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,3,2,"[5, 2]",16,0.10853043702094281,0.051034708885120024,0.057495728135822786,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,3,3,"[5, 2, 1]",24,0.16856949077308678,0.08689598808094288,0.08167350269214389,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,4,1,[15],8,-0.01439621517493711,0.0033869556069856294,-0.01778317078192274,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,4,2,"[15, 16]",16,0.02172189822479953,0.011964368637472134,0.009757529587327396,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,4,3,"[15, 16, 11]",24,0.12417025201005169,0.02834824890554991,0.09582200310450179,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,5,1,[15],8,0.007914994081012344,0.012182527310091628,-0.004267533229079284,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,5,2,"[15, 3]",16,0.016517144618646756,0.017942062754475744,-0.0014249181358289877,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,5,3,"[15, 3, 2]",24,0.016517144618646756,0.018755819122082056,-0.0022386745034353,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,6,1,[15],8,-0.051988368303123006,-0.021350417586619173,-0.030637950716503833,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,6,2,"[15, 16]",16,-0.06199399744871009,-0.040446133911358956,-0.021547863537351136,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,6,3,"[15, 16, 8]",24,-0.0487220334579154,-0.04035757302192504,-0.008364460435990359,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,7,1,[7],8,-0.005675290481895245,0.017343736091761795,-0.02301902657365704,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,7,2,"[7, 16]",16,0.024682870562946074,0.03760784674922558,-0.012924976186279503,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,7,3,"[7, 16, 2]",24,0.09460734328340689,0.0657596810459597,0.028847662237447197,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,8,1,[5],8,-0.01701721615172791,-0.04450479817802924,0.027487582026301333,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,8,2,"[5, 4]",16,-0.007229058530063864,-0.030062408963404844,0.02283335043334098,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,8,3,"[5, 4, 13]",24,0.015633413320931627,-0.0038883441089310345,0.01952175742986266,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,1,[13],8,0.0007734243083903358,-0.04295183522513278,0.04372525953352312,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,2,"[13, 5]",16,-0.04127382822065398,-0.04337125665451369,0.0020974284338597105,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,9,3,"[13, 5, 14]",24,-0.04197597662639807,-0.04328557428663495,0.0013095976602368817,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,10,1,[13],8,0.0063900488413861645,0.016778155045887828,-0.010388106204501663,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,10,2,"[13, 14]",16,0.026525445208520904,0.02874585551152952,-0.0022204103030086172,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,10,3,"[13, 14, 11]",24,0.020247800691290507,0.07035662554684437,-0.05010882485555386,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,2,1,[2],8,0.12794744091427623,0.021060790962492658,0.10688664995178357,macro_f1_proportion
EXP-XAI-FIDELITY-001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,2,2,"[2, 9]",16,0.19000091462689594,0.043495533856406914,0.14650538077048902,macro_f1_proportion
