model_id,method,scope,batch,phase,feature_count,sample_count,prediction_calls,batch_size,environment_id,median_ns,mean_ns,p95_ns,p99_ns,iqr_ns,min_ns,max_ns,std_ns,cv,n,experiment_id,median_us,p95_us,unit,variance_flag,scientific_scope,baseline_median_us,explanation_overhead_ratio,overhead_numerator_us,overhead_denominator_us,ratio_scope
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,10,EXPLANATION_COMPUTE,128,129,129,1,HOST-STAGE12-001,39340700.0,39378280.0,39478300.0,39478460.0,174400.0,39291600.0,39478500.0,92825.5999172642,0.0023572791883562,5,EXP-XAI-LATENCY-001,39340.7,39478.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.2,124.41714104996836,39340.7,316.2,LOCAL_MATCHED_MODEL_BATCH_ONLY
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,EXPLANATION_COMPUTE,128,129,2,128,HOST-STAGE12-001,707900.0,716594.9122807018,757669.9999999999,872122.9999999998,20775.0,676200.0,1189500.0,38904.69620848996,0.0542910583675067,570,EXP-XAI-LATENCY-001,707.9,757.6699999999998,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,314.95,2.2476583584695984,707.9,314.95,LOCAL_MATCHED_MODEL_BATCH_ONLY
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,SERIALIZATION_JSON,128,1,0,1,HOST-STAGE12-001,63000.0,64961.05263157895,75455.0,87769.99999999962,3175.0,59600.0,107400.0,6185.258762173639,0.0952148789406601,570,EXP-XAI-LATENCY-001,63.0,75.455,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,314.95,,,,NOT_APPLICABLE
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K1,128,1,0,1,HOST-STAGE12-001,5100.0,5299.649122807017,6300.0,10030.999999999996,200.0,4700.0,11500.0,985.4476557852915,0.1859458301766473,570,EXP-XAI-LATENCY-001,5.1,6.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,314.95,,,,NOT_APPLICABLE
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K10,128,1,0,1,HOST-STAGE12-001,5100.0,5117.017543859649,5500.0,6230.9999999999945,300.0,4700.0,12000.0,519.9109864068805,0.1016043001515143,570,EXP-XAI-LATENCY-001,5.1,5.5,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,314.95,,,,NOT_APPLICABLE
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K20,128,1,0,1,HOST-STAGE12-001,5100.0,5207.543859649123,5354.999999999995,5830.9999999999945,300.0,4700.0,29300.0,1593.1187490855991,0.3059251716399257,570,EXP-XAI-LATENCY-001,5.1,5.354999999999995,nanoseconds_raw_microseconds_presentation,HIGH_VARIANCE_HOST_MEASUREMENT,HOST_MEASURED,314.95,,,,NOT_APPLICABLE
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K3,128,1,0,1,HOST-STAGE12-001,5000.0,5054.3859649122805,5300.0,5930.9999999999945,200.0,4700.0,11700.0,339.6835990007269,0.0672057103194773,570,EXP-XAI-LATENCY-001,5.0,5.3,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,314.95,,,,NOT_APPLICABLE
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K5,128,1,0,1,HOST-STAGE12-001,5000.0,5063.1578947368425,5400.0,5992.999999999984,200.0,4700.0,11800.0,351.26263785775274,0.0693761966662921,570,EXP-XAI-LATENCY-001,5.0,5.4,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,314.95,,,,NOT_APPLICABLE
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,EXPLANATION_COMPUTE,128,129,2,128,HOST-STAGE12-001,707850.0,715519.7777777778,765014.9999999999,861158.9999999997,15900.0,685300.0,1033200.0,33164.87106195798,0.0463507398285476,450,EXP-XAI-LATENCY-001,707.85,765.0149999999999,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.6,2.2357864813644976,707.85,316.6,LOCAL_MATCHED_MODEL_BATCH_ONLY
MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,SERIALIZATION_JSON,128,1,0,1,HOST-STAGE12-001,65550.0,69776.44444444444,86994.99999999996,115428.99999999993,13300.0,60400.0,146100.0,11053.793381986592,0.158417263447517,450,EXP-XAI-LATENCY-001,65.55,86.99499999999996,nanoseconds_raw_microseconds_presentation,REPORTED_CONTINUOUSLY,HOST_MEASURED,316.6,,,,NOT_APPLICABLE
