experiment_id,source_experiment_id,model_id,method,comparison,batch_a,batch_b,batch_gap,n_features,spearman_rank_correlation,kendall_rank_correlation,importance_cosine_similarity,top_1_jaccard,top_3_jaccard,top_5_jaccard,top_10_jaccard
EXP-STAB-0001,EXP-XAI-0001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,3,1,128,0.17151735030214246,0.10605314960629923,0.4196502101429574,0.0,0.0,0.0,0.0
EXP-STAB-0001,EXP-XAI-0001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,4,2,128,-0.13030466031862295,-0.08538385826771655,-0.08609600575367149,0.0,0.0,0.0,0.05263157894736842
EXP-STAB-0001,EXP-XAI-0001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,5,3,128,0.24308162424464386,0.16043307086614175,0.3356692537226632,0.0,0.2,0.1111111111111111,0.17647058823529413
EXP-STAB-0001,EXP-XAI-0001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,6,4,128,-0.09173571690166636,-0.06373031496062993,-0.04181973655330616,0.0,0.2,0.25,0.1111111111111111
EXP-STAB-0001,EXP-XAI-0001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,7,5,128,0.3873317615821278,0.26525590551181105,0.482706170500495,0.0,0.2,0.1111111111111111,0.1111111111111111
EXP-STAB-0001,EXP-XAI-0001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,8,6,128,0.20150842336568392,0.14000984251968504,0.041973140879066353,0.0,0.2,0.1111111111111111,0.17647058823529413
EXP-STAB-0001,EXP-XAI-0001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,9,7,128,-0.2413820728804248,-0.16560039370078744,-0.20725926761128677,0.0,0.0,0.0,0.05263157894736842
EXP-STAB-0001,EXP-XAI-0001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,REFERENCE,2,10,8,128,-0.13283968137703714,-0.09227362204724411,0.1409153782082205,0.0,0.0,0.0,0.05263157894736842
EXP-STAB-0001,EXP-XAI-0001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,3,1,128,0.17151735030214246,0.10605314960629923,0.4196502101429574,0.0,0.0,0.0,0.0
EXP-STAB-0001,EXP-XAI-0001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,3,4,1,128,-0.023147088445339678,-0.003937007874015749,0.020896441213238862,0.0,0.0,0.0,0.0
EXP-STAB-0001,EXP-XAI-0001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,4,5,1,128,0.19389191540010986,0.18823818897637798,0.19653170337433767,0.0,0.0,0.0,0.1111111111111111
EXP-STAB-0001,EXP-XAI-0001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,5,6,1,128,-0.14011284563266801,-0.09670275590551183,-0.002208205609080429,0.0,0.2,0.1111111111111111,0.05263157894736842
EXP-STAB-0001,EXP-XAI-0001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,6,7,1,128,0.0837873100164805,0.06865157480314961,0.20917476729852513,1.0,0.5,0.25,0.17647058823529413
EXP-STAB-0001,EXP-XAI-0001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,7,8,1,128,0.19605498077275224,0.14689960629921262,0.11607968908388731,0.0,0.5,0.42857142857142855,0.25
EXP-STAB-0001,EXP-XAI-0001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,8,9,1,128,0.0708203625709577,0.04822834645669292,0.16535795889017488,0.0,0.0,0.0,0.0
EXP-STAB-0001,EXP-XAI-0001,MODEL-C4,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,9,10,1,128,0.048651803698956234,0.03198818897637796,-0.05848891299946848,0.0,0.0,0.0,0.0
