experiment_id,model_id,method,comparison_type,anchor_batch,batch_a,batch_b,n_features,sensor_spearman,sensor_kendall_tau_b,jaccard_at_1,jaccard_at_3,jaccard_at_5,sensor_importance_l1_distance,input_change,unit,status
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,2,3,128,-0.12352941176470587,-0.08333333333333334,0.0,0.2,0.1111111111111111,0.17757474023511802,0.24184779125815448,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,3,4,128,0.02647058823529412,0.03333333333333333,0.0,0.0,0.25,0.3103173074520732,0.17514686189738726,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,4,5,128,0.488235294117647,0.3666666666666667,1.0,0.2,0.42857142857142855,0.26421065685512596,0.1675454310169655,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,5,6,128,0.55,0.39999999999999997,1.0,0.2,0.42857142857142855,0.22111805285209357,0.5772052274640999,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,6,7,128,0.36764705882352944,0.25,0.0,0.2,0.42857142857142855,0.26978864967839855,0.015510791428747894,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,7,8,128,0.07058823529411765,0.016666666666666666,0.0,0.0,0.25,0.20702694155255663,0.018631896147454308,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,8,9,128,0.3411764705882353,0.25,0.0,0.5,0.25,0.2952024423092252,0.05920337575269485,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ADJACENT,2,9,10,128,0.4147058823529412,0.3,1.0,0.5,0.25,0.3068373369467523,0.2684168374764425,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,3,128,-0.12352941176470587,-0.08333333333333334,0.0,0.2,0.1111111111111111,0.17757474023511802,0.24184779125815448,correlation_or_normalized_distance,EXECUTED
EXP-XAI-STABILITY-001,MODEL-C3,PERMUTATION_IMPORTANCE_MACRO_F1,ANCHOR_TO_FUTURE,2,2,4,128,-0.44705882352941173,-0.25,0.0,0.0,0.0,0.42168432489116325,0.41699465315554174,correlation_or_normalized_distance,EXECUTED
