experiment_id,model_id,method,scope,batch,phase,metric_name,estimate,ci_low,ci_high,n,bootstrap_repetitions,resampling_unit,unit,measurement_type
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,6,EXPLANATION_COMPUTE,median_host_wall_time_ns,39936900.0,39334100.0,40297200.0,5,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_NAIVE_REFERENCE,LOCAL,10,EXPLANATION_COMPUTE,median_host_wall_time_ns,39340700.0,39291600.0,39478500.0,5,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,EXPLANATION_COMPUTE,median_host_wall_time_ns,707900.0,706350.0,709750.0,570,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,SERIALIZATION_JSON,median_host_wall_time_ns,63000.0,62700.0,63300.0,570,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K1,median_host_wall_time_ns,5100.0,5000.0,5100.0,570,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K10,median_host_wall_time_ns,5100.0,5000.0,5100.0,570,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K20,median_host_wall_time_ns,5100.0,5000.0,5100.0,570,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K3,median_host_wall_time_ns,5000.0,5000.0,5000.0,570,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,2,TOP_K_REDUCTION_K5,median_host_wall_time_ns,5000.0,5000.0,5000.0,570,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,EXPLANATION_COMPUTE,median_host_wall_time_ns,707850.0,706698.75,709300.0,450,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,SERIALIZATION_JSON,median_host_wall_time_ns,65550.0,65150.0,66100.0,450,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,TOP_K_REDUCTION_K1,median_host_wall_time_ns,5100.0,5050.0,5100.0,450,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,TOP_K_REDUCTION_K10,median_host_wall_time_ns,5050.0,5000.0,5100.0,450,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,TOP_K_REDUCTION_K20,median_host_wall_time_ns,5000.0,5000.0,5100.0,450,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,TOP_K_REDUCTION_K3,median_host_wall_time_ns,5000.0,5000.0,5100.0,450,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,6,TOP_K_REDUCTION_K5,median_host_wall_time_ns,5100.0,5000.0,5100.0,450,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,EXPLANATION_COMPUTE,median_host_wall_time_ns,711500.0,709500.0,712900.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,SERIALIZATION_JSON,median_host_wall_time_ns,63350.0,62950.0,64100.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,TOP_K_REDUCTION_K1,median_host_wall_time_ns,5000.0,5000.0,5000.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,TOP_K_REDUCTION_K10,median_host_wall_time_ns,5000.0,5000.0,5000.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,TOP_K_REDUCTION_K20,median_host_wall_time_ns,5000.0,5000.0,5000.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,TOP_K_REDUCTION_K3,median_host_wall_time_ns,5000.0,5000.0,5000.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C1,SINGLE_FEATURE_ABLATION_LOCAL_VECTORIZED,LOCAL,10,TOP_K_REDUCTION_K5,median_host_wall_time_ns,5000.0,5000.0,5000.0,600,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,BASELINE_MODEL,BATCH,2,BASELINE_INFERENCE_END_TO_END,median_host_wall_time_ns,11744050.0,11640350.0,11925800.0,30,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,BASELINE_MODEL,BATCH,6,BASELINE_INFERENCE_END_TO_END,median_host_wall_time_ns,11619250.0,11516900.0,11724400.0,30,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,BASELINE_MODEL,BATCH,10,BASELINE_INFERENCE_END_TO_END,median_host_wall_time_ns,11395850.0,11269950.0,11483500.0,30,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,BASELINE_MODEL,LOCAL,2,BASELINE_INFERENCE_END_TO_END,median_host_wall_time_ns,11363350.0,11211100.0,11470800.0,30,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,BASELINE_MODEL,LOCAL,2,PREPROCESSING_ONLY,median_host_wall_time_ns,180700.0,173850.0,192650.0,30,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,BASELINE_MODEL,LOCAL,6,BASELINE_INFERENCE_END_TO_END,median_host_wall_time_ns,11224100.0,11103700.0,11317650.0,30,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,BASELINE_MODEL,LOCAL,6,PREPROCESSING_ONLY,median_host_wall_time_ns,179600.0,175643.75,187600.0,30,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,BASELINE_MODEL,LOCAL,10,BASELINE_INFERENCE_END_TO_END,median_host_wall_time_ns,10925550.0,10833400.0,11092750.0,30,1000,timing_replicate,nanoseconds,MEASURED_HOST
EXP-XAI-LATENCY-001,MODEL-C2,BASELINE_MODEL,LOCAL,10,PREPROCESSING_ONLY,median_host_wall_time_ns,153150.0,149700.0,157400.0,30,1000,timing_replicate,nanoseconds,MEASURED_HOST
