experiment_id,model,protocol,test_batch,gas_class,precision,recall,f1,support
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,6,5,0.0,0.0,0.0,606
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,6,6,0.0,0.0,0.0,467
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,7,1,0.26581231914014053,0.9907550077041603,0.41916558018252936,649
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,7,2,0.8094488188976378,0.7764350453172205,0.7925983037779492,662
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,7,3,0.5420393559928444,0.8416666666666667,0.6594124047878128,360
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,7,4,0.0,0.0,0.0,744
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,7,5,0.0,0.0,0.0,630
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,7,6,0.0,0.0,0.0,568
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,8,1,0.14871794871794872,0.9666666666666667,0.2577777777777778,30
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,8,2,0.6666666666666666,0.13333333333333333,0.2222222222222222,30
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,8,3,0.41935483870967744,0.975,0.5864661654135338,40
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,8,4,0.0,0.0,0.0,33
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,8,5,0.0,0.0,0.0,143
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,8,6,0.0,0.0,0.0,18
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,9,1,0.2147887323943662,1.0,0.3536231884057971,61
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,9,2,1.0,0.6727272727272727,0.8043478260869565,55
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,9,3,0.6711409395973155,1.0,0.8032128514056225,100
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,9,4,0.0,0.0,0.0,75
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,9,5,0.0,0.0,0.0,78
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,9,6,0.0,0.0,0.0,101
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,10,1,0.2822458270106222,0.93,0.4330616996507567,600
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,10,2,0.3800813008130081,0.6233333333333333,0.4722222222222222,600
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,10,3,0.6708860759493671,0.35333333333333333,0.462882096069869,600
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,10,4,0.0,0.0,0.0,600
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,10,5,0.7727272727272727,0.11333333333333333,0.19767441860465115,600
BASE-FIXED-C2-001,MODEL-C2,FIXED_ORIGIN_B1,10,6,0.0,0.0,0.0,600
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,2,1,0.41046831955922863,0.9085365853658537,0.5654648956356736,164
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,2,2,1.0,0.9281437125748503,0.9627329192546584,334
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,2,3,0.7194244604316546,1.0,0.8368200836820083,100
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,2,4,0.009615384615384616,0.009174311926605505,0.009389671361502348,109
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,2,5,1.0,0.6127819548872181,0.7599067599067599,532
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,2,6,0.5,0.2,0.2857142857142857,5
BASE-FIXED-C3-001,MODEL-C3,FIXED_ORIGIN_B1,3,1,0.3377630121816168,0.8356164383561644,0.4810725552050473,365
